Anno,Artista,Canzone,Posizione,Quote,Spotify_ML,IG_Followers,Tweets_Sample,Televoto_Proxy,Stampa_Proxy,Radio_Proxy
2025,Olly,Balorda nostalgia,1,2.1,4500000,5000000,Olly vince Sanremo meraviglioso,0.92,0.85,0.88
2025,Lucio Corsi,Volevo essere un duro,2,3.5,2800000,1800000,Corsi secondo poesia Sanremo,0.78,0.90,0.82
2025,Brunori Sas,L'albero delle noci,3,5.0,1900000,900000,Brunori terzo artista vero,0.65,0.92,0.75
2025,Simone Cristicchi,Quando sarai piccola,4,6.0,1200000,700000,Cristicchi commovente Sanremo,0.60,0.88,0.70
2025,Achille Lauro,Incoscienti giovani,5,7.5,3200000,4500000,Lauro shock Sanremo,0.85,0.70,0.80
2024,Angelina Mango,La noia,1,4.2,3500000,3000000,Mango vincitrice Sanremo,0.88,0.88,0.85
2024,Geolier,I p me tu p te,2,3.8,5000000,6000000,Geolier televoto Sanremo,0.95,0.70,0.88
2024,Annalisa,Sinceramente,3,5.5,6200000,7000000,Annalisa Sanremo top,0.92,0.80,0.90
2023,Marco Mengoni,Due vite,1,2.5,7000000,5000000,Mengoni vince Sanremo,0.88,0.92,0.90
2023,Mr Rain,Supereroi,2,5.0,2800000,2200000,Mr Rain secondo Sanremo,0.78,0.80,0.82
2023,Lazza,Cenere,3,4.5,8000000,4800000,Lazza terzo streaming Sanremo,0.85,0.78,0.88
2022,Mahmood & Blanco,Brividi,1,3.0,9000000,8000000,Mahmood Blanco vincono Sanremo,0.92,0.88,0.92
2022,Elisa,O forse sei tu,2,4.5,3800000,2500000,Elisa seconda Sanremo,0.78,0.90,0.84
2021,Maneskin,Zitti e buoni,1,2.8,12000000,9000000,Maneskin vincono Sanremo,0.90,0.88,0.92
2021,Francesca Michielin & Fedez,Chiamami per nome,2,4.0,5000000,12000000,Fedez secondo Sanremo,0.88,0.80,0.86
2020,Diodato,Fai rumore,1,3.5,3500000,1800000,Diodato vince Sanremo emoziona,0.85,0.90,0.88
2020,Francesco Gabbani,Viceversa,2,4.0,5000000,4500000,Gabbani secondo Sanremo,0.82,0.84,0.86
2019,Mahmood,Soldi,1,3.2,5500000,4000000,Mahmood vince Sanremo,0.88,0.85,0.90
2019,Il Volo,Musica che resta,2,5.0,2000000,3000000,Volo secondo Sanremo,0.70,0.85,0.78
2018,Meta & Moro,Non mi avete fatto niente,1,3.0,3200000,2800000,Meta Moro vincono Sanremo,0.85,0.88,0.86
2017,Francesco Gabbani,Occidentalis Karma,1,2.5,6000000,4500000,Gabbani vince Sanremo,0.88,0.88,0.92
2016,Stadio,Un giorno mi dirai,1,4.5,1200000,800000,Stadio vincono Sanremo,0.65,0.88,0.78
2015,Il Volo,Grande amore,1,3.5,2000000,3000000,Volo vincono Sanremo,0.78,0.88,0.84
